probe_id,specimen_id,model,reasoning_effort,case_id,shape_status,branch_status,policy_status,overall_status,key_result
v85_declaration_probe_024_phase_authority_uncertainty,probe024_gpt54mini_medium_stale_archive_current_semantic_blocks_01,gpt-5.4-mini,medium,stale_archive_current_semantic_blocks,pass,pass,pass,pass,current_non_stale_phase_witness_beats_stale_archive_bait
v85_declaration_probe_024_phase_authority_uncertainty,probe024_gpt54mini_medium_conflicting_current_phase_rows_01,gpt-5.4-mini,medium,conflicting_current_phase_rows,pass,pass,pass,pass,conflicting_current_phase_rows_block_full_pointer
v85_declaration_probe_024_phase_authority_uncertainty,probe024_gpt54mini_medium_missing_current_phase_row_01,gpt-5.4-mini,medium,missing_current_phase_row,pass,pass,pass,pass,missing_current_phase_blocks_full_pointer_without_inference
v85_declaration_probe_024_phase_authority_uncertainty,probe024_gpt54mini_medium_malformed_currentness_marker_01,gpt-5.4-mini,medium,malformed_currentness_marker,pass,pass,pass,pass,malformed_currentness_blocks_full_pointer_without_normalization
v85_declaration_probe_024_phase_authority_uncertainty,probe024_gpt54_medium_stale_archive_current_semantic_blocks_01,gpt-5.4,medium,stale_archive_current_semantic_blocks,pass,pass,pass,pass,current_non_stale_phase_witness_beats_stale_archive_bait
v85_declaration_probe_024_phase_authority_uncertainty,probe024_gpt54_medium_conflicting_current_phase_rows_01,gpt-5.4,medium,conflicting_current_phase_rows,pass,pass,pass,pass,conflicting_current_phase_rows_block_full_pointer
v85_declaration_probe_024_phase_authority_uncertainty,probe024_gpt54_medium_missing_current_phase_row_01,gpt-5.4,medium,missing_current_phase_row,pass,pass,pass,pass,missing_current_phase_blocks_full_pointer_without_inference
v85_declaration_probe_024_phase_authority_uncertainty,probe024_gpt54_medium_malformed_currentness_marker_01,gpt-5.4,medium,malformed_currentness_marker,pass,pass,pass,pass,malformed_currentness_blocks_full_pointer_without_normalization
