probe_id,specimen_id,model,reasoning_effort,case_id,shape_status,branch_status,policy_status,overall_status,key_result
v85_declaration_probe_026_two_stage_phase_authority_remand,probe026_gpt54mini_medium_conflict_then_candidate_archive_current_01,gpt-5.4-mini,medium,conflict_then_candidate_archive_current,pass,pass,pass,pass,conflict_detected_then_candidate_delta_admitted
v85_declaration_probe_026_two_stage_phase_authority_remand,probe026_gpt54mini_medium_missing_then_candidate_current_01,gpt-5.4-mini,medium,missing_then_candidate_current,pass,pass,pass,pass,missing_current_detected_then_candidate_row_admitted
v85_declaration_probe_026_two_stage_phase_authority_remand,probe026_gpt54mini_medium_malformed_then_candidate_current_01,gpt-5.4-mini,medium,malformed_then_candidate_current,pass,pass,pass,pass,malformed_currentness_detected_then_candidate_delta_admitted
v85_declaration_probe_026_two_stage_phase_authority_remand,probe026_gpt54mini_medium_unresolved_conflict_no_candidate_01,gpt-5.4-mini,medium,unresolved_conflict_no_candidate,pass,pass,pass,pass,unresolved_conflict_preserved_without_candidate_correction
v85_declaration_probe_026_two_stage_phase_authority_remand,probe026_gpt54_medium_conflict_then_candidate_archive_current_01,gpt-5.4,medium,conflict_then_candidate_archive_current,pass,pass,pass,pass,conflict_detected_then_candidate_delta_admitted
v85_declaration_probe_026_two_stage_phase_authority_remand,probe026_gpt54_medium_missing_then_candidate_current_01,gpt-5.4,medium,missing_then_candidate_current,pass,pass,pass,pass,missing_current_detected_then_candidate_row_admitted
v85_declaration_probe_026_two_stage_phase_authority_remand,probe026_gpt54_medium_malformed_then_candidate_current_01,gpt-5.4,medium,malformed_then_candidate_current,pass,pass,pass,pass,malformed_currentness_detected_then_candidate_delta_admitted
v85_declaration_probe_026_two_stage_phase_authority_remand,probe026_gpt54_medium_unresolved_conflict_no_candidate_01,gpt-5.4,medium,unresolved_conflict_no_candidate,pass,pass,pass,pass,unresolved_conflict_preserved_without_candidate_correction
