probe_id,specimen_id,model,reasoning_effort,case_id,shape_status,branch_status,policy_status,overall_status,key_result
v85_declaration_probe_022_task_phase_admissibility_gate,probe022_gpt54mini_medium_archive_menu_phase_blocked_01,gpt-5.4-mini,medium,archive_menu_phase_blocked,pass,pass,pass,pass,phase_blocked_full_pointer_not_admitted_components_preserved
v85_declaration_probe_022_task_phase_admissibility_gate,probe022_gpt54mini_medium_archive_menu_phase_allowed_01,gpt-5.4-mini,medium,archive_menu_phase_allowed,pass,pass,pass,pass,archive_phase_allowed_full_pointer_admitted
v85_declaration_probe_022_task_phase_admissibility_gate,probe022_gpt54mini_medium_create_menu_phase_allowed_01,gpt-5.4-mini,medium,create_menu_phase_allowed,pass,pass,pass,pass,semantic_phase_create_full_pointer_admitted
v85_declaration_probe_022_task_phase_admissibility_gate,probe022_gpt54mini_medium_archive_menu_version_gap_allowed_phase_01,gpt-5.4-mini,medium,archive_menu_version_gap_allowed_phase,pass,pass,pass,pass,version_gap_full_pointer_not_admitted_phase_not_misclassified
v85_declaration_probe_022_task_phase_admissibility_gate,probe022_gpt54_medium_archive_menu_phase_blocked_01,gpt-5.4,medium,archive_menu_phase_blocked,pass,pass,pass,pass,phase_blocked_full_pointer_not_admitted_components_preserved
v85_declaration_probe_022_task_phase_admissibility_gate,probe022_gpt54_medium_archive_menu_phase_allowed_01,gpt-5.4,medium,archive_menu_phase_allowed,pass,pass,pass,pass,archive_phase_allowed_full_pointer_admitted
v85_declaration_probe_022_task_phase_admissibility_gate,probe022_gpt54_medium_create_menu_phase_allowed_01,gpt-5.4,medium,create_menu_phase_allowed,pass,pass,pass,pass,semantic_phase_create_full_pointer_admitted
v85_declaration_probe_022_task_phase_admissibility_gate,probe022_gpt54_medium_archive_menu_version_gap_allowed_phase_01,gpt-5.4,medium,archive_menu_version_gap_allowed_phase,pass,pass,pass,pass,version_gap_full_pointer_not_admitted_phase_not_misclassified
